json_name,Sequence of Ingestion
x_yes_no_flag,1
x_validation,2
x_tcc_attributes,3
x_sub_brand,4
x_status,5
x_sold_to,6
x_ship_to,7
x_service_exchange,8
x_segment_type,9
x_role,10
x_rfs,11
x_recc,12
x_rejection_reason,13
x_product_code_3_digit,14
x_product_code_1_digit,15
x_priority,16
x_pricing_method,17
x_pricing_analyst,18
x_pricing_action_type,19
p_pricing_region,20
x_pr_type,21
x_pr_rel,22
x_pi,23
x_part_group,24
x_mfg_prod_code_class,25
x_mfg_prod_code,26
x_mfg_prod_class,27
x_market_code,28
x_lifecycle_stage,29
x_leader_follower,30
x_good_better_best,31
x_dw_3_digit,32
x_dw_1_digit,33
x_customer_xref,34
x_customer_type,35
x_customer_sub_type,36
x_customer_sub_group,37
x_customer_main_group,38
x_customer_group,39
x_channel,40
x_chain,41
x_brand,42
x_approval_status,43
trkcodmm,44
trkcodf,45
technical_part_details,46
tcc_recc,47
supplier,48
sro_attributes,49
sro_groups,50
sf_approved_quotes,52
s_track_code_compliance,53
s_tcc_qualifiers,54
quotefil_additions,55
quotefil,56
quote_rec,57
promos,58
prmoprce,59
pricing_calc,60
prcdsc,61
partdisc,62
part_relationship,63
part_grp,64
part,65
p_service_exchange,67
p_pricing_action_detail,68
p_lifecycle_stage,69
p_leader_or_follower,70
p_last_production_date,71
p_good_better_best,72
p_doa_seg,73
org_chart,74
new_parts_notification_detail,75
ndisc_additions,76
lpexcept,77
future_core_planning,79
franchise_code_map,80
franchise,81
fcp_sp,82
disccode_additions,83
disccode,84
customer_signup_additions,86
customer_part_numbers,87
currency,89
cpf_gen,90
contact_info_cpg,91
coninv,92
bill_of_materials,93
attr_chnges,94
alternate_parts,95
p_promos_link,96
part_regional,98
partdisc_additons,99
prcdsc_additions,100
s_what_if,104
trkcodf_additions,105
trkcodmm_additions,106
x_interplant,114
customer,117
delegation_of_authority,120
x_calc_name,121
padminowner,123
x_sro_group_name,124
sro_rules,126
promos_additions,133
nprice,134
p_sub_brand,135
lphist,141
pricing_changes_planning,187
local_pricing,212
pahist,213
list_price,215
dwcode,216
x_pr_att_change,217
tc_cat,218
cust_price_file,220
